Year,April,May,June
1972,8.82,5.71,3.41
1973,8.05,4.91,3.35
1974,8.83,7.19,2.95
1975,9,5.61,3.01
1976,7.27,5.52,3.92
1977,8.08,5.22,3.67
1978,8.72,6.35,4.28
1979,9.11,6.12,3.53
1980,8.05,4.67,2.7
1981,7.83,5.89,3.54
1982,8.87,5.35,2.49
1983,8.23,5.77,2.98
1984,6.89,4.56,2.14
1985,8.55,6.43,4.07
1986,7.98,5.56,3.61
1987,6.93,4.62,3.19
1988,7.51,5.01,2.38
1989,8.33,4.93,2.29
1990,8,5.13,2.16
1991,7.38,4.85,2.96
1992,7.93,5.69,3.05
1993,7.35,4.76,1.99
1994,8.03,5,2.45
1995,8.78,4.88,2.5
1996,8.61,6.25,2.89
1997,8.83,6.52,3.16
1998,7.21,4.19,2.07
1999,7.58,4.99,2.46
2000,7.75,5.54,3.04
2001,7.95,5.03,2.72
2002,8.61,6,3.12
2003,8.36,5.47,2.82
2004,7.96,6.18,3.08
2005,7.39,4.9,2.75
2006,7.46,4.48,2.3
2007,8.03,4.89,2.77
2008,8.82,4.92,1.9
2009,8.47,5.6,2.33
2010,6.26,4.15,1.72
2011,8.67,5.08,1.85
2012,7.55,4.58,1.24
2013,9.08,4.95,1.63
2014,8.77,5.14,1.66
2015,7.87,4.55,1.48
2016,7.54,4.39,1.59
